segment_uid,source_uid,source_path,start_sec,end_sec,duration_sec,ad_utility_score,decision,role_bucket,clip_path,thumb_path
"62e07f4d629b2c30","3a83c1b9d9cfd25a","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4965.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/3a83c1b9d9cfd25a/62e07f4d629b2c30.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/62e07f4d629b2c30.jpg"
"728d6f2dae3e2f8c","3a83c1b9d9cfd25a","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4965.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/3a83c1b9d9cfd25a/728d6f2dae3e2f8c.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/728d6f2dae3e2f8c.jpg"
"c42715f15e5ffa12","f281928c01d6ee1b","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4967.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/f281928c01d6ee1b/c42715f15e5ffa12.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/c42715f15e5ffa12.jpg"
"04aade6e2daa2189","f281928c01d6ee1b","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4967.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/f281928c01d6ee1b/04aade6e2daa2189.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/04aade6e2daa2189.jpg"
"2270472f58db0364","e3fba5dcf17231fc","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4968.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/e3fba5dcf17231fc/2270472f58db0364.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/2270472f58db0364.jpg"
"f3c2d745d861d12c","e3fba5dcf17231fc","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4968.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/e3fba5dcf17231fc/f3c2d745d861d12c.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/f3c2d745d861d12c.jpg"
"5453a9448d6dae0f","e9f054e9f2302768","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4969.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/e9f054e9f2302768/5453a9448d6dae0f.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/5453a9448d6dae0f.jpg"
"cb112a932ed72f00","e9f054e9f2302768","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4969.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/e9f054e9f2302768/cb112a932ed72f00.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/cb112a932ed72f00.jpg"
"17217ddf47f9a4e4","34bea84ca89e372f","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4970.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/34bea84ca89e372f/17217ddf47f9a4e4.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/17217ddf47f9a4e4.jpg"
"eb0001f1c91f44df","34bea84ca89e372f","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4970.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/34bea84ca89e372f/eb0001f1c91f44df.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/eb0001f1c91f44df.jpg"
"686e1f8f9b49a196","22f224f47de034bd","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4971.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/22f224f47de034bd/686e1f8f9b49a196.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/686e1f8f9b49a196.jpg"
"398ba8fa461ba525","22f224f47de034bd","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4971.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/22f224f47de034bd/398ba8fa461ba525.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/398ba8fa461ba525.jpg"
"31f3ab65d039e578","4a157932bfd77b4f","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4972.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/4a157932bfd77b4f/31f3ab65d039e578.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/31f3ab65d039e578.jpg"
"2cdf10b2ae0c390c","4a157932bfd77b4f","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4972.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/4a157932bfd77b4f/2cdf10b2ae0c390c.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/2cdf10b2ae0c390c.jpg"
"801a956d1db01025","b4739d23ebcf03a3","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4973.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/b4739d23ebcf03a3/801a956d1db01025.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/801a956d1db01025.jpg"
"6d372e4e000c392a","b4739d23ebcf03a3","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4973.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/b4739d23ebcf03a3/6d372e4e000c392a.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/6d372e4e000c392a.jpg"
"758a4d1972158a86","a5ce75d8f1f04115","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4974.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/a5ce75d8f1f04115/758a4d1972158a86.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/758a4d1972158a86.jpg"
"2a6611266adca14e","a5ce75d8f1f04115","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4974.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/a5ce75d8f1f04115/2a6611266adca14e.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/2a6611266adca14e.jpg"
"b8108c3d9c36c05a","4a6428169e1d7dcd","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4975.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/4a6428169e1d7dcd/b8108c3d9c36c05a.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/b8108c3d9c36c05a.jpg"
"951289908c25feef","4a6428169e1d7dcd","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4975.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/4a6428169e1d7dcd/951289908c25feef.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/951289908c25feef.jpg"
"a84e5b7ab872b389","7e3459cc4d8d253e","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4976.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/7e3459cc4d8d253e/a84e5b7ab872b389.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/a84e5b7ab872b389.jpg"
"5f1a7b19cfcf5924","7e3459cc4d8d253e","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4976.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/7e3459cc4d8d253e/5f1a7b19cfcf5924.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/5f1a7b19cfcf5924.jpg"
"26e2e621e48cfb29","b947aabeedb9dab8","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4977.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/b947aabeedb9dab8/26e2e621e48cfb29.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/26e2e621e48cfb29.jpg"
"29e3740ed51d32a2","b947aabeedb9dab8","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.13.2026 Nick Athey/IMG_4977.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/b947aabeedb9dab8/29e3740ed51d32a2.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/29e3740ed51d32a2.jpg"
"e9c3aad7d20c5f2d","bca269a645af49ea","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5021.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/bca269a645af49ea/e9c3aad7d20c5f2d.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/e9c3aad7d20c5f2d.jpg"
"dfd79af90658c039","bca269a645af49ea","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5021.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/bca269a645af49ea/dfd79af90658c039.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/dfd79af90658c039.jpg"
"be6f489063aa54f5","057a61743386edab","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5022.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/057a61743386edab/be6f489063aa54f5.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/be6f489063aa54f5.jpg"
"45ea3861207d2c59","057a61743386edab","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5022.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/057a61743386edab/45ea3861207d2c59.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/45ea3861207d2c59.jpg"
"6a3313712314d6fb","4f278dc32e1951d7","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5023.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/4f278dc32e1951d7/6a3313712314d6fb.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/6a3313712314d6fb.jpg"
"439564ffbf850892","4f278dc32e1951d7","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5023.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/4f278dc32e1951d7/439564ffbf850892.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/439564ffbf850892.jpg"
"6e1794eb1e6a3fe0","946bea9d2911b72b","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5024.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/946bea9d2911b72b/6e1794eb1e6a3fe0.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/6e1794eb1e6a3fe0.jpg"
"c400cb8ced426630","946bea9d2911b72b","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5024.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/946bea9d2911b72b/c400cb8ced426630.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/c400cb8ced426630.jpg"
"a6d9b495d797290b","af5b0d0bde6f75c5","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5025.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/af5b0d0bde6f75c5/a6d9b495d797290b.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/a6d9b495d797290b.jpg"
"838ae02ad37df2e5","af5b0d0bde6f75c5","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5025.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/af5b0d0bde6f75c5/838ae02ad37df2e5.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/838ae02ad37df2e5.jpg"
"187fcfd0210e2ca2","b7645d98e1b3a378","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5026.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/b7645d98e1b3a378/187fcfd0210e2ca2.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/187fcfd0210e2ca2.jpg"
"f76a7532fde95223","b7645d98e1b3a378","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5026.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/b7645d98e1b3a378/f76a7532fde95223.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/f76a7532fde95223.jpg"
"7f378f81f49e88f4","95db48a1fb478b88","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5027.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/95db48a1fb478b88/7f378f81f49e88f4.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/7f378f81f49e88f4.jpg"
"ccc4f1030a234660","95db48a1fb478b88","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5027.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/95db48a1fb478b88/ccc4f1030a234660.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/ccc4f1030a234660.jpg"
"91d12497dfeaf35e","385d872e72d6f5e5","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5028.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/385d872e72d6f5e5/91d12497dfeaf35e.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/91d12497dfeaf35e.jpg"
"4f82c8f71940d74c","385d872e72d6f5e5","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5028.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/385d872e72d6f5e5/4f82c8f71940d74c.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/4f82c8f71940d74c.jpg"
"3fa1017aa02fd986","dc1333a8d46d5c84","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5029.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/dc1333a8d46d5c84/3fa1017aa02fd986.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/3fa1017aa02fd986.jpg"
"9a775d09ca1494c7","dc1333a8d46d5c84","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5029.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/dc1333a8d46d5c84/9a775d09ca1494c7.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/9a775d09ca1494c7.jpg"
"a64c8ae3b845e0df","16d3b38776cba983","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5030.mov","0.0","3.5","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/16d3b38776cba983/a64c8ae3b845e0df.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/a64c8ae3b845e0df.jpg"
"571d0c920088bf2b","16d3b38776cba983","/Volumes/maxone/TSS_AdsFactory/phase1_selected/Orange County/1.22.2026 Mehrsa Baradaran/IMG_5030.mov","1.5","5.0","3.5","98.0","use","hook|body","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/segments/16d3b38776cba983/571d0c920088bf2b.mp4","/Users/ericsysclaw/.openclaw/workspace/ads-ops/library_v2/thumbs/571d0c920088bf2b.jpg"
