date_start,date_stop,account_name,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,cpc,cpm,follows,cost_per_follow,actions_raw,cost_per_action_type_raw,age,gender,action__link_click,action__onsite_conversion.messaging_conversation_started_7d,action__onsite_conversion.messaging_first_reply,action__onsite_conversion.post_net_like,action__onsite_conversion.post_net_save,action__onsite_conversion.post_save,action__onsite_conversion.post_unlike,action__onsite_conversion.total_messaging_connection,action__page_engagement,action__post,action__post_engagement,action__post_interaction_gross,action__post_reaction,action__video_view,cost_per_action__link_click,cost_per_action__onsite_conversion.messaging_conversation_started_7d,cost_per_action__onsite_conversion.messaging_first_reply,cost_per_action__onsite_conversion.total_messaging_connection,cost_per_action__page_engagement,cost_per_action__post_engagement,cost_per_action__post_interaction_gross,cost_per_action__video_view
2026-03-08,2026-03-08,TSSAds,1,New Traffic Ad set with recommended settings,1,0.05,14,13,1,7.142857,0.05,3.571429,0,,"[{""action_type"":""link_click"",""value"":""1""},{""action_type"":""page_engagement"",""value"":""6""},{""action_type"":""post_engagement"",""value"":""6""},{""action_type"":""video_view"",""value"":""5""}]","[{""action_type"":""video_view"",""value"":""0.01""},{""action_type"":""link_click"",""value"":""0.05""},{""action_type"":""post_engagement"",""value"":""0.008333""},{""action_type"":""page_engagement"",""value"":""0.008333""}]",18-24,female,1.0,,,,,,,,6.0,,6.0,,,5.0,0.05,,,,0.008333,0.008333,,0.01
2026-03-08,2026-03-08,TSSAds,1,New Traffic Ad set with recommended settings,1,0.03,8,8,0,0,,3.75,0,,"[{""action_type"":""page_engagement"",""value"":""1""},{""action_type"":""post_engagement"",""value"":""1""},{""action_type"":""video_view"",""value"":""1""}]","[{""action_type"":""video_view"",""value"":""0.03""},{""action_type"":""post_engagement"",""value"":""0.03""},{""action_type"":""page_engagement"",""value"":""0.03""}]",18-24,male,,,,,,,,,1.0,,1.0,,,1.0,,,,,0.03,0.03,,0.03
2026-03-08,2026-03-08,TSSAds,1,New Traffic Ad set with recommended settings,1,0.18,43,43,0,0,,4.186047,0,,"[{""action_type"":""page_engagement"",""value"":""14""},{""action_type"":""post_engagement"",""value"":""14""},{""action_type"":""video_view"",""value"":""14""}]","[{""action_type"":""video_view"",""value"":""0.012857""},{""action_type"":""post_engagement"",""value"":""0.012857""},{""action_type"":""page_engagement"",""value"":""0.012857""}]",25-34,female,,,,,,,,,14.0,,14.0,,,14.0,,,,,0.012857,0.012857,,0.012857
2026-03-08,2026-03-08,TSSAds,1,New Traffic Ad set with recommended settings,1,0.22,35,35,2,5.714286,0.11,6.285714,0,,"[{""action_type"":""link_click"",""value"":""2""},{""action_type"":""page_engagement"",""value"":""15""},{""action_type"":""post_engagement"",""value"":""15""},{""action_type"":""video_view"",""value"":""13""}]","[{""action_type"":""video_view"",""value"":""0.016923""},{""action_type"":""link_click"",""value"":""0.11""},{""action_type"":""post_engagement"",""value"":""0.014667""},{""action_type"":""page_engagement"",""value"":""0.014667""}]",25-34,male,2.0,,,,,,,,15.0,,15.0,,,13.0,0.11,,,,0.014667,0.014667,,0.016923
2026-03-08,2026-03-08,TSSAds,1,New Traffic Ad set with recommended settings,1,0.01,1,1,0,0,,10,0,,[],[],25-34,unknown,,,,,,,,,,,,,,,,,,,,,,
2026-03-08,2026-03-08,TSSAds,1,New Traffic Ad set with recommended settings,1,0.26,43,43,0,0,,6.046512,0,,"[{""action_type"":""page_engagement"",""value"":""20""},{""action_type"":""post_engagement"",""value"":""20""},{""action_type"":""post_interaction_gross"",""value"":""1""},{""action_type"":""onsite_conversion.post_save"",""value"":""1""},{""action_type"":""onsite_conversion.post_net_save"",""value"":""1""},{""action_type"":""video_view"",""value"":""19""}]","[{""action_type"":""video_view"",""value"":""0.013684""},{""action_type"":""post_interaction_gross"",""value"":""0.26""},{""action_type"":""post_engagement"",""value"":""0.013""},{""action_type"":""page_engagement"",""value"":""0.013""}]",35-44,female,,,,,1.0,1.0,,,20.0,,20.0,1.0,,19.0,,,,,0.013,0.013,0.26,0.013684
2026-03-08,2026-03-08,TSSAds,1,New Traffic Ad set with recommended settings,1,0.15,22,22,1,4.545455,0.15,6.818182,0,,"[{""action_type"":""link_click"",""value"":""1""},{""action_type"":""page_engagement"",""value"":""8""},{""action_type"":""post_engagement"",""value"":""8""},{""action_type"":""video_view"",""value"":""7""}]","[{""action_type"":""video_view"",""value"":""0.021429""},{""action_type"":""link_click"",""value"":""0.15""},{""action_type"":""post_engagement"",""value"":""0.01875""},{""action_type"":""page_engagement"",""value"":""0.01875""}]",35-44,male,1.0,,,,,,,,8.0,,8.0,,,7.0,0.15,,,,0.01875,0.01875,,0.021429
2026-03-08,2026-03-08,TSSAds,1,New Traffic Ad set with recommended settings,1,0.01,1,1,0,0,,10,0,,[],[],35-44,unknown,,,,,,,,,,,,,,,,,,,,,,
2026-03-08,2026-03-08,TSSAds,1,New Traffic Ad set with recommended settings,1,0.15,15,15,1,6.666667,0.15,10,0,,"[{""action_type"":""link_click"",""value"":""1""},{""action_type"":""page_engagement"",""value"":""10""},{""action_type"":""post_engagement"",""value"":""10""},{""action_type"":""post_interaction_gross"",""value"":""1""},{""action_type"":""onsite_conversion.post_net_like"",""value"":""1""},{""action_type"":""video_view"",""value"":""8""},{""action_type"":""post_reaction"",""value"":""1""}]","[{""action_type"":""video_view"",""value"":""0.01875""},{""action_type"":""link_click"",""value"":""0.15""},{""action_type"":""post_interaction_gross"",""value"":""0.15""},{""action_type"":""post_engagement"",""value"":""0.015""},{""action_type"":""page_engagement"",""value"":""0.015""}]",45-54,female,1.0,,,1.0,,,,,10.0,,10.0,1.0,1.0,8.0,0.15,,,,0.015,0.015,0.15,0.01875
2026-03-08,2026-03-08,TSSAds,1,New Traffic Ad set with recommended settings,1,0.02,4,4,0,0,,5,0,,"[{""action_type"":""page_engagement"",""value"":""1""},{""action_type"":""post_engagement"",""value"":""1""},{""action_type"":""video_view"",""value"":""1""}]","[{""action_type"":""video_view"",""value"":""0.02""},{""action_type"":""post_engagement"",""value"":""0.02""},{""action_type"":""page_engagement"",""value"":""0.02""}]",45-54,male,,,,,,,,,1.0,,1.0,,,1.0,,,,,0.02,0.02,,0.02
